airp_iata_code,name,img_url,img_name,owm_city_code,owm_name
NRN,Dusseldorf (Weeze),https://edinburghairport.s3.amazonaws.com/files/2017/06/4df0b1901548a06f0918f762146a5155.jpg,dusseldorf (weeze),3201047,Dubrovnik
DUS,Düsseldorf,https://edinburghairport.s3.amazonaws.com/files/2017/06/529314d30e49ee0e59c821a687751666.jpg,düsseldorf,3201047,Dubrovnik
EMA,East Midlands,https://edinburghairport.s3.amazonaws.com/files/2017/06/e0c350b113e99d91fcf3d9009fec5b0f.jpg,east midlands,3201047,Dubrovnik
EIN,Eindhoven,https://edinburghairport.s3.amazonaws.com/files/2017/06/a0c3d4f9240545d03864f2ce24c88f40.jpg,eindhoven,2798895,Eindhoven
EXT,Exeter,https://edinburghairport.s3.amazonaws.com/files/2017/06/eb58c9d93098d1167e49cb93b67d3df9.jpg,exeter,5347239,Exeter
FAO,Faro,https://edinburghairport.s3.amazonaws.com/files/2017/06/99d726aafd8442e5cc393fe536c2ed40.jpg,faro,2268339,Faro
FAE,Faroe Islands,https://edinburghairport.s3.amazonaws.com/files/2017/06/6529e67e4d082fc263b47e0f24be6b59.jpg,faroe islands,2622320,Faroe Islands
FLR,Florence,https://edinburghairport.s3.amazonaws.com/files/2017/12/c52b9af1f992f63ca92316efba153ab6.jpg,florence,5727032,Florence
HHN,Frankfurt Hahn,https://edinburghairport.s3.amazonaws.com/files/2017/06/a1f494557b8803c76afc2d51f0ac3fcd.jpg,frankfurt hahn,5727032,Florence
FRA,Frankfurt Main,https://edinburghairport.s3.amazonaws.com/files/2017/06/89a2482bd56901cc6d2abb7a49381100.jpg,frankfurt main,5727032,Florence
FUE,Fuerteventura,https://edinburghairport.s3.amazonaws.com/files/2017/06/f11c55876a6b432b942de89df4f37ecf.jpg,fuerteventura,5727032,Florence
GDN,Gdansk,https://edinburghairport.s3.amazonaws.com/files/2017/06/b030e2346dc3c211d88013cd49a34e84.jpg,gdansk,3099434,Gdansk
GVA,Geneva,https://edinburghairport.s3.amazonaws.com/files/2017/06/891619ba4a9c007e00eaf9b7a4aedc9a.jpg,geneva,5795348,Geneva
GRO,Girona Costa Brava,https://edinburghairport.s3.amazonaws.com/files/2017/06/ec3a3452d55c08a300c90084604b8ebe.jpg,girona costa brava,5795348,Geneva
GOT,Gothenburg Landvetter,https://edinburghairport.s3.amazonaws.com/files/2017/06/d5ca7230479d9c6c9f4ff25ce36ed6d8.jpg,gothenburg landvetter,5795348,Geneva
LPA,Gran Canaria,https://edinburghairport.s3.amazonaws.com/files/2017/06/bf6df6d199e1a7dd3a3dd67b7240687d.jpg,gran canaria,5795348,Geneva
GNB,Grenoble,https://edinburghairport.s3.amazonaws.com/files/2017/06/a049f3af7357cf9d9c95e11fd9b6d78c.jpg,grenoble,3014728,Grenoble
HAM,Hamburg,https://edinburghairport.s3.amazonaws.com/files/2017/06/8b5738c0dca749ed65759d23b8e9f49f.jpg,hamburg,5192444,Hamburg
HEL,Helsinki,https://edinburghairport.s3.amazonaws.com/files/2017/06/77ca9ef463fcc4701531928bfa6684e7.jpg,helsinki,658224,Helsinki
HER,Heraklion (Crete),https://edinburghairport.s3.amazonaws.com/files/2017/06/20b09dc5dd6f6afc44664086e1d8b350.jpg,heraklion (crete),658224,Helsinki
IBZ,Ibiza,https://edinburghairport.s3.amazonaws.com/files/2017/06/792bb7b0dee3284c0b2a9fa092eab9f6.jpg,ibiza,2516479,Ibiza
INN,Innsbruck,https://edinburghairport.s3.amazonaws.com/files/2017/06/58dbffc9fea9b8d2aa1421503520ceb9.jpg,innsbruck,2775220,Innsbruck
NOC,Ireland West Airport Knock,https://edinburghairport.s3.amazonaws.com/files/2017/06/982b8f7963bc61e3c68616c0506dd848.jpg,ireland west airport knock,2775220,Innsbruck
IOM,Isle of Man,https://edinburghairport.s3.amazonaws.com/files/2017/06/3c0b3a096723cbe8f5ca3135d4bf1d80.jpg,isle of man,6620382,Isle of Man
