airl_iata_code,name,img_url,img_name
CRS,Crystal Ski,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/WX.png,crs
DL,Delta Virgin,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/delta.jpg,dl
EZY,EasyJet,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/EZY.jpg,ezy
ED,Edelweiss Air,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/ED.jpg,ed
EK,Emirates,http://edinburghairport.s3.amazonaws.com/files/airlines/small/EK.jpg,ek
EY,Etihad Airways,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/EY.png,ey
EW,Eurowings,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/EW.jpg,ew
AY,Finnair,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/finnair.jpg,ay
BE,FlyBe,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/finnair.jpg,be
BE,FlyBe (Loganair),https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/BE.jpg,be
KNE,Flynas,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/flynas.png,kne
HU,Hainan Airlines,http://edinburghairport.s3.amazonaws.com/files/airlines/small/HU.jpg,hu
IB,Iberia,http://edinburghairport.s3.amazonaws.com/files/airlines/small/HU.jpg,ib
IBS,Iberia Express,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/IBS.JPG,ibs
inghams,Inghams,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/inghams.jpg,inghams
6H,Israir Airlines,http://edinburghairport.s3.amazonaws.com/files/airlines/small/6H.png,6h
9W,Jet Airways,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/9W.jpg,9w
LS,Jet2.com,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/LS.jpg,ls
KL,KLM,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/KL.jpg,kl
LM,Loganair,http://edinburghairport.s3.amazonaws.com/files/airlines/small/LM.jpg,lm
LO,LOT Polish Airlines,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/LO.gif,lo
LH,Lufthansa,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/LH.jpg,lh
M4,Mistral Air,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/M4.jpg,m4
DY,Norwegian,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/DY.jpg,dy
WY,Oman Air,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/DY.jpg,wy
PWA,Powdair,http://edinburghairport.s3.amazonaws.com/files/airlines/small/PWA.jpg,pwa
QR,Qatar Airways,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/QR.png,qr
FR,Ryanair,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/FR.jpg,fr
sas,SAS Scandinavian,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/sas.png,sas
SA,South African Airways,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/SA.jpg,sa
UL,Sri Lankan Airlines,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/UL.png,ul
MT,Thomas Cook,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/thomascook.jpg,mt
TOM,Thomson Airways,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/TOM.jpg,tom
TRA,Transavia France,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/TRA.jpg,tra
TK,Turkish Airlines,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/TK.jpg,tk
UA,United Airlines,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/UA.jpg,ua
VA,Virgin Australia,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/VA.jpg,va
VY,Vueling,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/VY.jpg,vy
WO,Wow Air,https://s3-eu-west-1.amazonaws.com/ediassets/img/airlines/WO.jpg,wo
